18,0.013830,0.026449,0.039697,0.056944,0.078230,0.085055,0.095776,0.115174,0.194761,0.135881,
17,0.012854,0.030300,0.037543,0.051016,0.063378,0.094270,0.091454,0.107688,0.118851,0.141854,
16,0.016194,0.023683,0.042570,0.047246,0.059414,0.072264,0.118295,0.097690,0.109104,0.121057,
15,0.011423,0.022393,0.034912,0.045739,0.056049,0.070419,0.083896,0.090521,0.102150,0.114880,
14,0.011950,0.021484,0.032306,0.043362,0.053127,0.063726,0.077459,0.090471,0.099340,0.106217,
13,0.010655,0.021045,0.030889,0.041012,0.055904,0.060878,0.070782,0.081791,0.093481,0.105193,
12,0.009386,0.020501,0.028529,0.038178,0.047582,0.056744,0.065356,0.075547,0.088088,0.100218,
11,0.008976,0.017701,0.029962,0.035327,0.044428,0.054332,0.062128,0.071026,0.080053,0.091058,
10,0.008342,0.016439,0.024755,0.033058,0.041461,0.051716,0.057369,0.076501,0.074143,0.086969,
9,0.007924,0.015406,0.022806,0.031506,0.038381,0.050985,0.053363,0.062664,0.069488,0.079097,
8,0.007051,0.014114,0.021326,0.028429,0.035886,0.047076,0.078086,0.056472,0.063402,0.075161,
7,0.006593,0.012957,0.027866,0.026091,0.035225,0.038918,0.045233,0.051998,0.058177,0.070415,
6,0.005894,0.012022,0.017763,0.023769,0.033061,0.035166,0.041741,0.057447,0.054344,0.072926,
5,0.005437,0.010576,0.016014,0.021232,0.026562,0.042390,0.037324,0.044276,0.057749,0.073198,
4,0.004854,0.009755,0.014238,0.018928,0.023918,0.028720,0.034579,0.038026,0.041935,0.048558,
3,0.004130,0.008286,0.012263,0.016460,0.023134,0.024578,0.028859,0.033403,0.047924,0.063906,
2,0.004687,0.007489,0.011177,0.014457,0.018896,0.021475,0.024835,0.070222,0.031510,0.055145,
1,0.002955,0.005556,0.008412,0.011208,0.013853,0.027777,0.023352,0.024666,0.024545,0.027184,
